song_name,song_id
一念一生 - 電視劇《慶餘年》主題曲,6wOYuHIuPvVZLbBggGqvKz
心動,2DglkgKB5UlwrCdwcHZjXE
體面,7oOfvZDUqhiJd9OC2Tq8Nh
兜圈 (偶像劇「必娶女人」片尾曲),4ezCayon5X4bTBj6ztNlDH
芒种,3IP4qSMfGeqI2XqHFf25sj
Wonderful U - Demo Version,2eSNpIOFoi1Q8wxw6CycXJ
月半小夜曲 - New Recording Version,7jFNX9aTdcQfhIgUVE02hi
左手指月 (電視劇《香蜜沉沉燼如霜》片尾曲),42EQCjMT4vvNN1Yov6rYX3
天下有情人,22nNe2DRluqizDZnC2At73
"눈,코,입 (Eyes, Nose, Lips)",4qzBepJAKtYu4T1GDtBZZc
Mojito,7BYMjh3vWnHU4IFyfZdIDO
婚紗背後,2MzWsLwD4TFe4LxBpmEEu8
從開始到現在 (電視劇《冬季戀歌》正宗主題曲中文版),4RRE5Wr90YK1h1JE7IZaaA
給我一個理由忘記,2DcmVSLAg0ZzfOQxDshZHY
像天堂的懸崖,4HGNNgQVjyyKk4sPgmbpIM
不要對他說,1nIvhg3JvXeOEWbKaFR0jg
寫一首歌,2uYMSVRCH84sGmstQpdAXA
寂寞寂寞就好,4LhAUjPqfLpBVNYEdPd5Go
魔鬼中的天使,2chz9PENZPB0VYNH1TsfsN
小幸運,1ZeVIrCWzEmsJexkrgvjFv
野狼Disco,2Zc5d8BN5DEwTcv9JpZqz9
death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx
小小,06wyInPXzYxTuPUqLZWJY7
大魚 - 唱片版,0FfdtQrD9kT42o6Anv4uDn
有一點動心,20C5OCwctOMqQkWh866Osn
"想見你想見你想見你(電視劇""想見你""片尾曲)",69zgyr5HVKdInjeKpq1qHa
末班車,4oELKeBS6hWwN3CTuN6acA
我要我們在一起,0JdC2S9BQnXLEfErskDgVO
時光話(網劇《傳聞中的陳芊芊》插曲),5QeDLFH1oZ81GhUGB9RoDi
結伴(網劇《傳聞中的陳芊芊》插曲),4ezBiy4kDgaDleBf9Jm3Qn
傳聞(網劇《傳聞中的陳芊芊》片尾曲),03phNLQrwUHdFf5kPWLZjX
心有獨鍾,2MInSKT7b2QOvjHyt6MXWr
謝謝你的美好,5ullD09W3aNzJ3dwl1FQe3
"我喜歡(不,我愛)",7lqtdXxC38KOrQ33SB5wVo
好的事情,6oMCbuCGvSDWsVJdznassw
Lover,1dGr1c8CrMLDpV6mPbImSI
You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5
Back To You,514rhnksEwHUh6LxXsQ4Y9
Papillon,7EFmA3zysrOPJNRqhYCOVd
Ringa Linga,0LiIVRAOyWF7sgpq9LSUqk
Youngblood,2iUXsYOEPhVqEBwsqP70rE
Please Don't Go,3cNjgVBKTJ1SvKhunrCdVy
comethru (bonus track),1pV9TLnQdOHbvourRO7x4m
成全 - Live,7oRpNoAsvWrBM69Vv2vK0x
想自由,6kgIfsrBMGROn31uyhDoJC
說謊,5EXpL9orGpIsscSyBgPdSx
Unrequited,2eOpn0ix5JGf47vUBUqZnV
盛夏,5Q8pzX4ctv71YRhfRwrLRX
借,7tK9WnRIh3eiaGEb9fqoQj
像我這樣的人,5VGIY7p4J5WPMCtXYWBdbX
不染 (電視劇《香蜜沉沉燼如霜》主題曲),5KYc5q2RrnMZvyrgPIPl7H
消愁,1eyhZf2stL2a1AXSfeKyYn
三生三世 - 電視劇《三生三世十里桃花》片頭曲,6vyx2fi4ThuLTvRUlymjmG
凉凉 - 電視劇《三生三世十里桃花》片尾曲,7LmFgyIHlXRqjDOt68RQoQ
All Falls Down (feat. Juliander),5yFSF6qQA1rcLsQRnBsZgb
Runaway Baby,5MMLS3xm12D7N26xlfFApr
Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY
In My Blood,79jX8RM5CgPqDKdGEKNW9K
Lost In Japan,7wvYmO5QscgIDDT0eNwbYX
我們不一樣,6jIaM0E0zbelWAiL9s1Bg4
Ici Londres,2CQuSK3Suv4AHZg3xyXXBv
Brother,6dVa7xk5dOoT6pOkDw1TMH
Stay Together,5R4HqXCZ6uTjxxnGdLt2S6
Issues,1sXUWdKx03aP9Gmzft58rt
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW
There for You,6jA8HL9i4QGzsj6fjoxp8Y
All I Want,2jTidefcsTu6VQhpIImJrt
I'm the One,72Q0FQQo32KJloivv5xge2
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb
Yellow,3AJwUDP919kvQ9QcozQPxg
After the Afterparty (feat. Lil Yachty),0y8Wf6ltWpGCpgqVa21QNX
iSpy (feat. Lil Yachty),2EEeOnHehOozLq4aS0n6SL
Thief,0fXuiy3oKrq87zeTQHjUhj
Moon River,4reXaYGDiSUhHuD8YbijyW
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8
Only You,5aW6mgQmHPszfK1wyonSZi
Sign of the Times,5ELRkzdzz0HvGpMDlfZHkV
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH
When We Were Young,0cj2joJcY6b4XSRfj2eZOl
Down,4Hgn5GBgk7EQGIEwGoZorQ
Game of Thrones Medley,0LLK7yaku9bb3QAuf3py93
完全因你,4S1vM4X0PqmKC4BB16OAO2
Scars To Your Beautiful,42ydLwx4i5V49RXHOozJZq
Bad Things - With Camila Cabello,6H2TKJ9KJfcq6MRmw2cF20
Say You Won't Let Go,1Pw5C4N6Fn5E4mGCxmbbVa
Shape of You,0FE9t6xYkqWXU2ahLh6D8X
Castle on the Hill,66qlqxhEMpSHOzjRK4il0b
Perfect Strangers,1CUVN2kn7mW5FjkqXTR2W1
I Don’t Wanna Live Forever (Fifty Shades Darker),6yIdwnpDHufLWgQcveTPMk
This Town,5dTJMpqiELczVuHJP3OAEu
Hope,2xxx3hyrkpFgrGi6iCVx9y
7 Years,5kqIPrATaCc2LqxVWzQGbk
Lay It All on Me (feat. Ed Sheeran),3853uIOwh2L9F8TkDd1F49
One Call Away,2uEJanMvnA1dXgX1ASnPQm
Love Me Tender,0aDmZSsj0OqOcscNlsASlm
Can't Help Falling in Love,44AyOl4qVkzS48vBsbNXaC
Make You Feel My Love,0mqTcM8kuu2IYPotMt7AzS
Hello,1MDoll6jK4rrk2BcFRP5i7
Cake By The Ocean,2Aa1wE8ofs2tu59TOQrZKW
When You Say Nothing At All,306LQdB2k5yBGsiIV2oeC3
Good For You,5xdVqHtFS0eLuNp4Z8Wbpa
Same Old Love,6ZANrVuAMp2rpjhfbOuJly
