song_id,song_name,artists,artists_id,popularity
6lZKB76djHxzO0p2Y3E8vj,"很久以後 - 電影《可不可以,你也剛好喜歡我》主題曲","[{'artist_name': 'G.E.M.', 'artist_id': '7aRC4L63dBn3CiLDuWaLSI'}]",,63
0TVrlU8El0K6U1pC2LOt09,如果能幸福 - HBO Asia原創影集《戒指流浪記》片尾曲,"[{'artist_name': 'Eric Chou', 'artist_id': '5fEQLwq1BWWQNR8GzhOIvi'}]",,64
0Cs1Z7vadgSTNpVCTojnU7,我常常想起你,"[{'artist_name': 'Katncandix2', 'artist_id': '3bnBRciC7Gz8urBu9gEQAw'}]",,55
0NHsxQj4j6gPz8PdRc5KKh,失重前幸褔,"[{'artist_name': '艾薇', 'artist_id': '0RaC2hXyniYsju0mCSNz90'}]",,61
56XaEf9Mo2Njaxa9TIn5LR,少年,"[{'artist_name': '梦然', 'artist_id': '6taSlFSqCqAEUHOliFyHt7'}]",,61
3yWMv4KSXoh1l61cAqykl1,Something I Don't Need,"[{'artist_name': 'E.SO', 'artist_id': '2qXGNIlmY3JrYkxOWyXZsd'}]",,59
6V2ycd5EqUqAl9r6NHqjNN,不刪,"[{'artist_name': '井朧', 'artist_id': '4tz3iHSl8lR9ry1BOiF0N8'}]",,60
5nVrrh7PIybgCb7SoM5IZB,醜人多作怪 (《新斗羅大陸》手遊半週年主題曲),"[{'artist_name': '告五人', 'artist_id': '6xErgeZYatiaQ36SB5bvi8'}]",,56
0q1FMCm6hZhyPomad3LQES,So Bad,"[{'artist_name': '高爾宣 OSN', 'artist_id': '4TcOznbEZBqev21LzAH4KE'}]",,61
38yCQiUZkE2OViISGCTgeo,正想著你呢,"[{'artist_name': 'Chih Siou', 'artist_id': '6cMRDBCHMYjyCH2D0s6uzr'}]",,34
1WHzHtbCV4OoB0TLgG7eMD,彼個所在,"[{'artist_name': 'Waa Wei', 'artist_id': '190bkHbFrRvEhcB7Zpuv3y'}]",,59
6jUOZRbaQc9nX8grCUTq24,我這個人 - 《我沒有談的那場戀愛》電影宣傳主題曲,"[{'artist_name': 'Eve Ai', 'artist_id': '6eLpNMX3ZygSrUuxAlIWIx'}]",,59
3Bij7rScgMAWeCXpA3qJk9,太陽,"[{'artist_name': 'E.SO', 'artist_id': '2qXGNIlmY3JrYkxOWyXZsd'}]",,57
4LSPhOVHew694KG2IAA6Ap,Crush On,"[{'artist_name': '李浩瑋 Howard Lee', 'artist_id': '7EkkWNWPiWFQ0rA9IEmMXs'}]",,56
3H6nBaQ2UJsUrK78NbYrD9,兜轉 - 《HIStory4-近距離愛上你》LINE TV片頭曲,"[{'artist_name': 'Andrew Tan', 'artist_id': '5AhK8gDgOZT7lE1UlbyF1c'}]",,56
4kRxP0UA2fg8LqGHj3lZVZ,別人的 - 電影《孤味》片尾曲,"[{'artist_name': 'Vivian Hsu', 'artist_id': '6cP65fCRmCJQejKYSnVb47'}]",,49
2Ub5ZGPsej0A6YpvzhntLL,輸情歌,"[{'artist_name': 'J.Sheon', 'artist_id': '4DEItwf281SHmTnS8q3Mn9'}]",,57
7xv1df9mhiy8JyPvaUW61f,別再想見我,"[{'artist_name': '許光漢', 'artist_id': '3hhUgkTf3fFYGogFMbV5Wv'}]",,59
