song_id,song_name,artists,artists_id,popularity
0lx2cLdOt3piJbcaXIV74f,willow,"[{'artist_name': 'Taylor Swift', 'artist_id': '06HL4z0CvFAxyc27GXpf02'}]",,83
1nahzW3kfMuwReTka28tH5,Hold On,"[{'artist_name': 'Justin Bieber', 'artist_id': '1uNFoZAHBGtllmzznpCI3s'}]",,87
6cQ08IpBxxfGcSKxqE3NmB,Headshot (feat. Polo G & Fivio Foreign),"[{'artist_name': 'Lil Tjay', 'artist_id': '6jGMq4yGs7aQzuGsMgVgZR'}, {'artist_name': 'Polo G', 'artist_id': '6AgTAQt8XS6jRWi4sX7w49'}, {'artist_name': 'Fivio Foreign', 'artist_id': '14CHVeJGrR5xgUGQFV5BVM'}]",,78
1msEuwSBneBKpVCZQcFTsU,Forever & Always (Taylor’s Version),"[{'artist_name': 'Taylor Swift', 'artist_id': '06HL4z0CvFAxyc27GXpf02'}]",,78
3ySLzrN7950dpf1ncttONO,Lady,"[{'artist_name': 'Brett Young', 'artist_id': '0fiWOxhsBsQQvFDtxUQWo0'}]",,74
4sf2L157iEgAR7yrCNLgSq,Breaking Up Was Easy In The 90's,"[{'artist_name': 'Sam Hunt', 'artist_id': '2kucQ9jQwuD8jWdtR9Ef38'}]",,71
0KS2h61pHQ4WmOwruD7uxD,Damage,"[{'artist_name': 'H.E.R.', 'artist_id': '3Y7RZ31TRPVadSFVy1o8os'}]",,74
51FVpJr3WL7vvdfCa7j2jr,Momma’s House,"[{'artist_name': 'Dustin Lynch', 'artist_id': '1dID9zgn0OV0Y8ud7Mh2tS'}]",,73
0lNotCAaSDP4itCAtEE7My,Anyone,"[{'artist_name': 'Justin Bieber', 'artist_id': '1uNFoZAHBGtllmzznpCI3s'}]",,69
77sMIMlNaSURUAXq5coCxE,Fearless (Taylor’s Version),"[{'artist_name': 'Taylor Swift', 'artist_id': '06HL4z0CvFAxyc27GXpf02'}]",,81
5pcjystBtalYeqaiXCcgEY,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),"[{'artist_name': 'Taylor Swift', 'artist_id': '06HL4z0CvFAxyc27GXpf02'}, {'artist_name': 'Maren Morris', 'artist_id': '6WY7D3jk8zTrHtmkqqo5GI'}]",,82
1KixkQVDUHggZMU9dUobgm,My Head & My Heart,"[{'artist_name': 'Ava Max', 'artist_id': '4npEfmQ6YuiwW1GpUmaq3F'}]",,89
2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,"[{'artist_name': 'Bad Bunny', 'artist_id': '4q3ewBCX7sLwd24euuV69X'}, {'artist_name': 'ROSALÍA', 'artist_id': '7ltDVBr6mKbRvohxheJ9h1'}]",,92
1qrpoAMXodY6895hGKoUpA,You Belong With Me (Taylor’s Version),"[{'artist_name': 'Taylor Swift', 'artist_id': '06HL4z0CvFAxyc27GXpf02'}]",,81
53bZYxVbCYm6w1Gx8U64bz,Settling Down,"[{'artist_name': 'Miranda Lambert', 'artist_id': '66lH4jAE7pqPlOlzUKbwA0'}]",,72
53tv6ZbyeAwfAUwFaxYbfO,Hellcats & Trackhawks,"[{'artist_name': 'Only The Family', 'artist_id': '3IaKn0ExWTMPqa0mscUYw3'}, {'artist_name': 'Lil Durk', 'artist_id': '3hcs9uc56yIGFCSy9leWe7'}]",,75
472vIK1ldetTxRxG3ovaiY,Glad You Exist,"[{'artist_name': 'Dan + Shay', 'artist_id': '7z5WFjZAIYejWy0NI5lv4T'}]",,81
